Key,Participant_ID,Category,Difficulty,ResponseTime,routineStart,routineEnd,Result,Start_ms,End_ms
3Item16,34,3,2,1.1275175000773745,1677067866.2008898,1677067867.3284073,1.0,1677067866200.89,1677067867328.4072
1spl1,35,1,0,10.921644000000017,1678712056.2241728,1678712067.1458168,1.0,1678712056224.1729,1678712067145.817
1spl2,35,1,0,8.756087299999763,1678712067.245518,1678712076.0016053,1.0,1678712067245.518,1678712076001.6052
1Item1,35,1,0,13.077469600000311,1678712076.043074,1678712089.1205437,1.0,1678712076043.074,1678712089120.5437
1Item2,35,1,0,11.16621699999996,1678712089.141879,1678712100.3080962,1.0,1678712089141.8792,1678712100308.0962
1Item3,35,1,0,21.966550899999675,1678712100.3392038,1678712122.305755,1.0,1678712100339.204,1678712122305.755
1Item4,35,1,1,24.68780250000009,1678712122.332456,1678712147.020259,1.0,1678712122332.456,1678712147020.2588
1Item5,35,1,1,44.53068480000002,1678712147.0477192,1678712191.578404,0.0,1678712147047.7192,1678712191578.404
1Item6,35,1,1,18.648239199999807,1678712191.6049943,1678712210.2532334,1.0,1678712191604.9944,1678712210253.2334
1Item7,35,1,2,28.365789400000267,1678712210.2746055,1678712238.640395,1.0,1678712210274.6057,1678712238640.395
1Item8,35,1,2,26.874237300000004,1678712238.6642294,1678712265.5384667,1.0,1678712238664.2295,1678712265538.4668
1Item9,35,1,2,26.712653800000226,1678712265.5557537,1678712292.2684076,0.0,1678712265555.7537,1678712292268.4077
1Item10,35,1,2,28.01459419999992,1678712292.286271,1678712320.3008654,1.0,1678712292286.271,1678712320300.8655
2spl1,35,2,0,6.521015299999817,1678712410.191775,1678712416.7127905,1.0,1678712410191.7751,1678712416712.7903
2spl2,35,2,0,8.337806300000011,1678712418.9823012,1678712427.3201077,1.0,1678712418982.3013,1678712427320.1077
2Item1,35,2,0,7.895921000000271,1678712429.096856,1678712436.992777,1.0,1678712429096.8562,1678712436992.777
2Item2,35,2,0,7.70746169999984,1678712438.530268,1678712446.2377295,1.0,1678712438530.268,1678712446237.7295
2Item3,35,2,0,6.950031899999885,1678712447.386299,1678712454.336331,1.0,1678712447386.2988,1678712454336.3308
